"date","close","volume","open","high","low"
"2015/12/11","32.9100","14926290.0000","34.0100","34.1500","32.8200"
"2015/12/10","34.6300","16165570.0000","34.4900","34.7300","33.9100"
"2015/12/09","34.4000","45084420.0000","35.8000","35.8400","33.1500"
"2015/12/08","34.8500","19692440.0000","34.2400","34.9750","34.0300"
"2015/12/07","34.6800","12041050.0000","34.7600","34.9200","34.4700"
"2015/12/04","34.9100","15866570.0000","34.3400","35.2000","34.1800"
"2015/12/03","34.3400","17072050.0000","35.5900","35.7200","34.1000"
"2015/12/02","35.6500","56642740.0000","35.0000","36.3900","34.7700"
"2015/12/01","33.7100","10865120.0000","33.8700","33.8900","33.4700"
"2015/11/30","33.8100","17416660.0000","33.0300","33.8300","32.8500"
"2015/11/27","32.9400","5316055.0000","32.7900","33.0850","32.4400"
"2015/11/25","33.1600","13257660.0000","32.7700","33.5200","32.7500"
"2015/11/24","32.9600","13360470.0000","33.0900","33.1900","32.6100"
"2015/11/23","33.3600","11899690.0000","33.0000","33.8700","32.8700"
"2015/11/20","33.1100","12492130.0000","32.8600","33.3000","32.6900"
"2015/11/19","32.6250","14218270.0000","33.2100","33.5000","32.5800"
"2015/11/18","32.9800","10793380.0000","32.8900","33.0200","32.3200"
"2015/11/17","32.8600","10269790.0000","33.0100","33.1200","32.6200"
"2015/11/16","32.9450","11015500.0000","32.2300","32.9900","32.1200"
"2015/11/13","32.1900","11046970.0000","32.7800","33.0400","32.1700"
"2015/11/12","33.2300","14272950.0000","33.2000","33.8450","33.1300"
"2015/11/11","33.3800","11805240.0000","34.2100","34.2300","33.0250"
"2015/11/10","33.9900","11513430.0000","33.4500","34.1300","33.2600"
"2015/11/09","33.6800","13633730.0000","34.0700","34.0800","33.0750"
"2015/11/06","34.2000","16600480.0000","34.9400","35.2001","33.4600"
"2015/11/05","35.1200","15678550.0000","35.0200","35.3000","34.1600"
"2015/11/04","35.0700","17500560.0000","34.8900","35.2400","34.7500"
"2015/11/03","34.7200","12392640.0000","35.1500","35.3400","34.6500"
"2015/11/02","35.2700","15191360.0000","35.4600","35.4800","35.0700"
"2015/10/30","35.6200","17390650.0000","35.1400","35.7000","35.0500"
"2015/10/29","35.0500","10792570.0000","34.8700","35.1500","34.7000"
"2015/10/28","35.1850","15062350.0000","34.3000","35.2700","34.3000"
"2015/10/27","34.3000","26376350.0000","34.9700","35.4700","33.8800"
"2015/10/26","33.4000","15765470.0000","33.1300","33.4900","33.0000"
"2015/10/23","33.1700","24299850.0000","32.6500","33.3600","32.2400"
"2015/10/22","31.6700","18192310.0000","31.2600","31.9000","31.2100"
"2015/10/21","31.1200","30415740.0000","32.0600","32.4300","31.0100"
"2015/10/20","32.8300","18949520.0000","33.4900","33.5900","32.7700"
"2015/10/19","33.5000","10841520.0000","33.2600","33.6300","33.1800"
"2015/10/16","33.3700","12228790.0000","33.6400","33.8600","33.1600"
"2015/10/15","33.4800","19375660.0000","32.4200","33.4900","32.4000"
"2015/10/14","32.0900","11278220.0000","32.2800","32.4900","31.7700"
"2015/10/13","32.3400","14522570.0000","32.5600","32.8250","32.3200"
"2015/10/12","32.8600","12567120.0000","32.7100","33.0200","32.5500"
"2015/10/09","32.5200","11829810.0000","32.3500","32.6900","31.9900"
"2015/10/08","32.3700","14244430.0000","31.7900","32.5000","31.7300"
"2015/10/07","31.8700","12222300.0000","31.3100","31.9900","31.2100"
"2015/10/06","30.9550","10950760.0000","30.7900","31.1850","30.6600"
"2015/10/05","30.8500","12865320.0000","30.8000","31.2000","30.3500"
"2015/10/02","30.7100","29219070.0000","28.6200","30.7100","28.4300"
"2015/10/01","28.9100","14461980.0000","28.9500","29.0000","28.4400"
"2015/09/30","28.9100","17876870.0000","28.6500","29.1100","28.4900"
"2015/09/29","28.2600","41892780.0000","28.5800","29.2300","27.8500"
"2015/09/28","27.6000","49203100.0000","29.0300","29.2200","27.2000"
"2015/09/25","29.1300","11817400.0000","29.6600","29.7100","28.9050"
"2015/09/24","29.3400","18997510.0000","29.4700","29.5700","28.8500"
"2015/09/23","29.7400","12751310.0000","30.5600","30.5700","29.6300"
"2015/09/22","30.4000","15296900.0000","30.7800","30.9200","30.1700"
"2015/09/21","31.1700","18416110.0000","31.2000","31.7350","30.8800"
"2015/09/18","30.7400","20450430.0000","30.5100","30.8000","30.4100"
"2015/09/17","30.9300","17000340.0000","31.3100","31.3300","30.8100"
"2015/09/16","31.4000","22172630.0000","31.1400","31.7700","30.9900"
"2015/09/15","31.0400","25640600.0000","29.7200","31.2250","29.4100"
"2015/09/14","30.3200","21953210.0000","30.6800","30.9200","30.0000"
"2015/09/11","31.4300","14329600.0000","31.0900","31.4300","30.6300"
